ID,File,Canonical family,Latest/version status,Programme layer,Public release tier,Public-facing role,Reason / interpretation,Primary risk,Next action,Drive URL
1LxrYK4mUp0x48uTNSpvFOv481crA7mAN,bridge_valence_diagnostic_atlas_causal_set_theory_v0_8_reproducibility.md,Bridge-valence diagnostic atlas — causal set theory,Current,Reproducibility / case-study support,Public support appendix,Deep BVD application to CST,Important proof-of-use for BVD; useful as case-study appendix.,May be read as external CST claim; must mark as diagnostic atlas,Include after BVD/GBS support.,https://drive.google.com/file/d/1LxrYK4mUp0x48uTNSpvFOv481crA7mAN/view
1xOZRy3RWpmFYfC5mMF1NBHPmBvq21UKu,rfop_bridge_valence_self_audit_v0_5_high_resolution_sheets.md,RFOP bridge-valence self-audit,Superseded by v0.6,Superseded version,Superseded / do not release,Superseded support file,Older version of self-audit.,Version drift,Archive privately only.,https://drive.google.com/file/d/1xOZRy3RWpmFYfC5mMF1NBHPmBvq21UKu/view
1At5Q783tPVdQw5H8Vc6DGdyRxZXKXZFj,bridge_valence_diagnostics_predictive_criticality_v1_12.md,Bridge-Valence Diagnostics and Predictive Criticality,Current,Core Discovery Methodology,Main public v2.0,Bridge problem classifier / frontier-governance method,"Core public paper. Classifies bounded bridges, finite unification atlases, critical loci, mixed/underdetermined cases, and action implications.","Must be framed as diagnostic, not proof of external domains",Place before GBS and after RBC.,https://drive.google.com/file/d/1At5Q783tPVdQw5H8Vc6DGdyRxZXKXZFj/view
1pOAn7ye8ozkZGeB6e3MmlkMF3hrRXh4p,target_presentation_calibration_atlas_M0_M16_audited_synthesis_v0_2.md,Target Presentation Calibration Atlas M0–M16,Current,Frontier support / calibration atlas,Public support appendix,Target-presentation calibration support,Appears important for multi-target calibration and BVD seed work.,Dense and branch-specific,Include as support if it has stable non-claims.,https://drive.google.com/file/d/1pOAn7ye8ozkZGeB6e3MmlkMF3hrRXh4p/view
1r7LUBDLd-4FlM9JPAZ3bITUvS4-OMAzh,ac_target_presentation_calibration_from_observer_slice_v0_3_handoff.md,AC target presentation calibration from observer slice,Current,Handoff / frontier calibration trace,Internal provenance archive,AC calibration handoff,Likely handoff rather than public paper.,May look like scratch prompt/control file,Archive; extract stable atlas result if needed.,https://drive.google.com/file/d/1r7LUBDLd-4FlM9JPAZ3bITUvS4-OMAzh/view
1XhwRqcE2hV-jOlB-GRVWOm0hO7djn5WY,cross_pass_candidate_assessment_for_continuum_admitted_fiber_v0_1.md,Cross-pass candidate assessment for continuum admitted fiber,Current,Frontier assessment trace,Internal provenance archive,Continuum candidate assessment,Sounds like assessment trace; preserve for provenance but not main release.,Too internal / unfinished,Archive; cite only indirectly after stable paper emerges.,https://drive.google.com/file/d/1XhwRqcE2hV-jOlB-GRVWOm0hO7djn5WY/view
1S7Re_0ZAisu278VfhUT7R8erg_lpEax5,observer_slice_faithful_anchoring_reduction_v0_1.md,Observer-slice faithful anchoring reduction,Current,Frontier continuum branch,Frontier branch index,Continuum anchoring subpaper,Potentially important sub-bridge in continuum chain.,Low version v0.1; might be immature,"Include in branch index, not main spine.",https://drive.google.com/file/d/1S7Re_0ZAisu278VfhUT7R8erg_lpEax5/view
1aQEiUdCMS2LQs4DdG16_AsDLD8YzYaj9,observer_slice_volume_closure_theorem_v0_1.md,Observer-slice volume closure theorem,Current,Frontier continuum branch,Frontier branch index,Volume closure subpaper,Potential technical theorem in continuum branch.,Low version v0.1,Index as current but not first public standalone.,https://drive.google.com/file/d/1aQEiUdCMS2LQs4DdG16_AsDLD8YzYaj9/view
1sUnqAzkzIIKSmmQUTikbk6YHgjdQfkUS,bridge_accessibility_target_relative_inaccessibility_v0_5_reader_facing.md,Bridge Accessibility and Target-Relative Inaccessibility,Current,Method support / accessibility semantics,Public support appendix,Bridge accessibility semantics,Important support for BVD and GBS; likely public support paper.,May overlap with NUR/RBC if not scoped,Include as methodology support.,https://drive.google.com/file/d/1sUnqAzkzIIKSmmQUTikbk6YHgjdQfkUS/view
15z9O8yqNIt3Ep1kgrWPIpBzgfZYLuIC0,programme_wide_result_atlas_reciprocal_shape_mining_pass3_v0_1.md,Programme-wide result atlas — reciprocal shape mining pass 3,Current latest pass,Programme mining / provenance,Internal provenance archive,Mining pass / source discovery,Useful provenance for BVD/GBS derivation but not reader-facing first.,Looks like construction trace,Archive; maybe summarize in support note.,https://drive.google.com/file/d/15z9O8yqNIt3Ep1kgrWPIpBzgfZYLuIC0/view
1hLfQf8MUnfxo_hdNZhVx6j9qgzN_v7SE,programme_wide_result_atlas_reciprocal_shape_mining_pass2_v0_1.md,Programme-wide result atlas — reciprocal shape mining pass 2,Earlier pass,Programme mining / provenance,Internal provenance archive,Mining pass provenance,Earlier mining pass; keep as provenance.,Version/provenance clutter,Archive.,https://drive.google.com/file/d/1hLfQf8MUnfxo_hdNZhVx6j9qgzN_v7SE/view
1qSowQvRaUTLs44kyTrPVApzTahXs8Iuy,programme_wide_result_atlas_reciprocal_shape_mining_pass1_v0_1.md,Programme-wide result atlas — reciprocal shape mining pass 1,Earlier pass,Programme mining / provenance,Internal provenance archive,Mining pass provenance,Earlier mining pass; keep as provenance.,Version/provenance clutter,Archive.,https://drive.google.com/file/d/1qSowQvRaUTLs44kyTrPVApzTahXs8Iuy/view
1C0fMooDYXCk5zMPXK5mU_qHofW2MCtBd,continuum_realization_bridge_from_programme_first_principles_v0_2_relation_safe.md,Continuum realization bridge from programme first principles,Current,GR / continuum frontier branch,Frontier branch index,Continuum realization bridge,Likely important post-GR-chain bridge paper.,Must not imply GR derived,Include in frontier branch index with non-claim.,https://drive.google.com/file/d/1C0fMooDYXCk5zMPXK5mU_qHofW2MCtBd/view
1LUNmC61mO7U5ge3U_HQ2o2ttuHoNuntq,complex_witness_chart_synthesis_realization_envelope_v0_2_relation_safe.md,Complex witness chart synthesis realization envelope,Current,GR / witness / chart synthesis,Frontier branch index,Witness/chart synthesis paper,Likely support for continuum admission/witness logic.,Opaque; may need role note,Include in frontier branch index.,https://drive.google.com/file/d/1LUNmC61mO7U5ge3U_HQ2o2ttuHoNuntq/view
1G6NpiZ8pstx81n_KMkAPXgf2PDPNwdxa,canonical_trace_carrier_construction_v0_2_relation_safe.md,Canonical trace carrier construction,Current,GR / trace carrier branch,Frontier branch index,Trace-carrier construction,Potentially technical sub-bridge in continuum chain.,Low version; needs audit,"Index, not main spine.",https://drive.google.com/file/d/1G6NpiZ8pstx81n_KMkAPXgf2PDPNwdxa/view
1Y_CUR5t-QYbD5o7zyU0z4wSUxb6voKya,trace_declared_witness_completion_gr_bridge_chain_v0_8_relation_safe.md,Trace-declared witness completion GR bridge chain,Current,GR / witness completion branch,Frontier branch index,GR bridge witness-completion paper,Important frontier branch paper; likely follows continuum chain.,Must not imply GR completion,Include in frontier index with non-claims.,https://drive.google.com/file/d/1Y_CUR5t-QYbD5o7zyU0z4wSUxb6voKya/view
1xx1js3T9u1Oo7UEbml6qygzsIKsD4Vpq,witness_realization_packets_v1_3.md,Witness realization packets,Current,GR / witness realization support,Frontier branch index,Witness-packet support,May be important technical architecture for continuum/GR branch.,Dense and specialized,Include as support to frontier branch.,https://drive.google.com/file/d/1xx1js3T9u1Oo7UEbml6qygzsIKsD4Vpq/view
1eWh3Nkwabqe7Dr-cWQdfV6v1TOJki4ef,dimension_residual_validation_bridge_v1_3.md,Dimension residual validation bridge,Current,GR / dimension validation branch,Frontier branch index,Dimension validation bridge,Important to dimension/conformal endpoint.,Must separate diagnostic vs proof,Include in frontier branch index.,https://drive.google.com/file/d/1eWh3Nkwabqe7Dr-cWQdfV6v1TOJki4ef/view
1cOqxU8rhXW4epVqbgTe0ejOVO5D58eGn,validating_rfop_intrinsic_ac_certificate_v1_0.md,Validating RFOP intrinsic AC certificate,Current,GR / AC certificate branch,Frontier branch index,AC certificate validation,Likely a certification step in continuum branch.,Can be misread as validating physics,Index with strict scope.,https://drive.google.com/file/d/1cOqxU8rhXW4epVqbgTe0ejOVO5D58eGn/view
16zqZkQ2lkuawx-eid39am8NKSi5N0-a7,rfop_paper_construction_ledger_v2_2.md,RFOP Paper Construction Ledger,Current,Internal execution governance,Public support appendix / internal archive,Paper audit and construction protocol,"Very important internally; can be public as reproducibility methodology, but not main public theory paper.",Overwhelming to readers; could look bureaucratic,Include only in appendix or internal construction archive; not main spine.,https://drive.google.com/file/d/16zqZkQ2lkuawx-eid39am8NKSi5N0-a7/view
1qXFcnHlEInRhc11NYQ4F9cYqaR8_uHo-,rfop_fixed_point_line_saturation_audit_template_v2_0.md,RFOP fixed-point line saturation audit template,Current,Internal audit template,Internal provenance archive,Audit template,"Useful execution template, not a paper.",Not reader-facing,Archive; maybe include in tools directory later.,https://drive.google.com/file/d/1qXFcnHlEInRhc11NYQ4F9cYqaR8_uHo-/view
1uhmXPnV77GvMfGq0fMiU5jyamXRT7NaA,alexandrov_continuum_verification_bridge_v0_9.md,Alexandrov continuum verification bridge,Current,GR / continuum verification branch,Frontier branch index,Continuum verification paper,Important frontier bridge paper toward continuum hypotheses.,Must not overclaim metric recovery,Include in frontier branch index.,https://drive.google.com/file/d/1uhmXPnV77GvMfGq0fMiU5jyamXRT7NaA/view
1af5Qcfds-KiWDh2HeckkBfg5jA5VXaxN,causal_region_systems_conditional_lorentzian_metric_recovery_v1_3.md,Causal region systems / conditional Lorentzian metric recovery,Current,GR / conditional metric recovery branch,Frontier branch index,Conditional Lorentzian metric recovery,Major frontier paper but conditional; likely public branch after spine.,High overclaim risk if title not framed carefully,Include with explicit conditional status.,https://drive.google.com/file/d/1af5Qcfds-KiWDh2HeckkBfg5jA5VXaxN/view
1JqiI1riP8_jH9FeHfbfRTnsEUzrEIjWn,rfop_theory_development_intuition_queue_v0_1.md,RFOP theory development intuition queue,Current,Internal queue,Internal provenance archive,Intuition queue,"Source of possible future targets, not public research paper.",Intuitions are not results,Keep private/internal.,https://drive.google.com/file/d/1JqiI1riP8_jH9FeHfbfRTnsEUzrEIjWn/view
1OQITUAOnZxOVA-U7xjUX-BE-YQDTCMn2,publication_arxiv_track_handoff_v0_3.md,Publication/arXiv track handoff,Current,Publication control,Internal provenance archive,Publication handoff/control,"Publication strategy prompt/control, not paper.",Internal strategy exposure,Keep private.,https://drive.google.com/file/d/1OQITUAOnZxOVA-U7xjUX-BE-YQDTCMn2/view
1uQ7enQr9BLys2M96MU7D_irFPKKOQNta,relation_first_organization_programme_guide_v0_5.md,Programme Guide,Current,Parser / navigation,Main public v2.0,Reader/collaborator map,Public guide synchronized to new state; belongs in main release.,"Must be guide, not theory paper",Include early in release.,https://drive.google.com/file/d/1uQ7enQr9BLys2M96MU7D_irFPKKOQNta/view
1RkANaj78cI51tbmREuJ33LnusPtdHKRq,RFOP_Public_Bibliography_Reader_Map_v0_3.md,Public Bibliography / Reader Map,Current,Parser / public release map,Main public v2.0,Public bibliography and entry map,Public-facing release map; needs update from v0.3 to v2.0 after classification.,Outdated if not synchronized to BVD/GBS/AS additions,Update to v2.0 based on this register.,https://drive.google.com/file/d/1RkANaj78cI51tbmREuJ33LnusPtdHKRq/view
1FRGj8Dj_Ke3k1Vt2vBHRRcJ_v5PYtI8p,theory_development_state_v1_0_1.md,Theory Development State,Current,Canonical internal control state,Public support appendix / internal archive,Canonical state/control file,Important control file; should be sanitized if public.,Contains internal governance; may confuse readers,Use internally for v2.0; publish only sanitized state summary.,https://drive.google.com/file/d/1FRGj8Dj_Ke3k1Vt2vBHRRcJ_v5PYtI8p/view
1Wr2-TsaR-Jlc0eMTfLBT43ZOTc2Kwvsz,publication_arxiv_strategy_v0_2.md,Publication/arXiv strategy,Current,Publication control,Internal provenance archive,Publication strategy control,Internal strategy file; not part of public research corpus.,May expose strategy and prompt details,Keep private.,https://drive.google.com/file/d/1Wr2-TsaR-Jlc0eMTfLBT43ZOTc2Kwvsz/view
15YbBwUPk5h3EAGYFvu3yYzQo6QxcfKOb,dimension_conformal_metric_recovery_v0_9.md,Dimension and Conformal-Metric Recovery,Current,GR / continuum frontier branch,Frontier branch index,Dimension/conformal-metric endpoint,Important endpoint in prior guide; likely public branch after spine.,Must remain conditional,Include in frontier branch index.,https://drive.google.com/file/d/15YbBwUPk5h3EAGYFvu3yYzQo6QxcfKOb/view
1Q7cSr0Kov0aXAyYP9bq6vXsMCkkDDQ1n,recursive_bridge_calibration_v1_7.md,Recursive Bridge Calibration,Current,Core bridge methodology,Main public v2.0,Bridge calibration and sequencing method,Core method paper; predecessor to BVD and GBS.,Must not be framed as truth guarantee,Include in main corpus before BVD.,https://drive.google.com/file/d/1Q7cSr0Kov0aXAyYP9bq6vXsMCkkDDQ1n/view
1H1SIAB2RzY6IP_3k8FqnDFkrfF8JSVDG,triadic_substitution_coupling_closure_atlases_v0_9.md,"Triadic Substitution, Coupling, and Closure Atlases",Current,Core architecture / integration,Main public v2.0,Closure-atlas architecture,Core governing architecture for typed micro-triads and couplings.,Dense; needs reader map,Include in main corpus.,https://drive.google.com/file/d/1H1SIAB2RzY6IP_3k8FqnDFkrfF8JSVDG/view
1mfFiOz5Y1vV_ZbLZ8ZmY2aYWe5_8vztQ,spatial_locale_causal_diamond_realization_v0_6.md,"Spatial, Locale, and Causal-Diamond Realization",Current,GR / continuum frontier branch,Frontier branch index,Spatial/locale/casual-diamond realization,Important later Lorentzian/continuum chain paper.,Must not imply physical spacetime,Include in frontier branch index.,https://drive.google.com/file/d/1mfFiOz5Y1vV_ZbLZ8ZmY2aYWe5_8vztQ/view
1cbhillUVBTxVV7wpGcWJ36lnr9Q_AEv9,lorentzian_realization_canonical_region_spaces_v0_3.md,Lorentzian realization of canonical region spaces,Current,GR / continuum frontier branch,Frontier branch index,Canonical region realization,Frontier bridge paper in Lorentzian chain.,Must not overstate Lorentzian continuum,Include in frontier branch index.,https://drive.google.com/file/d/1cbhillUVBTxVV7wpGcWJ36lnr9Q_AEv9/view
1stGb7LhV7Y6nKK4Tt2BMcOTzSwlF-p2E,faithful_interval_region_anchoring_v0_3.md,Faithful Interval-Region Anchoring,Current,GR / continuum frontier branch,Frontier branch index,Interval-region anchoring,Bridge paper after density/sampling; important frontier chain.,"Must be framed as anchoring, not embedding theorem",Include in frontier branch index.,https://drive.google.com/file/d/1stGb7LhV7Y6nKK4Tt2BMcOTzSwlF-p2E/view
101-qQv7-SK0vGrLl6mCD4Tiq064j_6xI,no_undeclared_photon_relation_packet_v0_8.md,No Undeclared Photon relation packet,Current,Physics relation-packet case study,Public support appendix,Physics-facing method case study,Useful as template for physics-facing derived/imported ledger.,Must not be QED/photon derivation,Include in support appendix.,https://drive.google.com/file/d/101-qQv7-SK0vGrLl6mCD4Tiq064j_6xI/view
1svhh87t7fGqZZXbxP7F_KNab7g85pSLR,master_publication_register_v0_2.xlsx,Master publication register v0.2,Obsolete/control,Publication control spreadsheet,Internal provenance archive,Old register,Superseded by v2.0 classification workbook.,Outdated after programme expansion,Archive; replace with new v2.0 register.,https://docs.google.com/spreadsheets/d/1svhh87t7fGqZZXbxP7F_KNab7g85pSLR/edit
17nvUH197_QUVb0SSmp5i560RJdwqKkFo,no_undeclared_observer_v0_5.md,No Undeclared Observer,Current,Bridge/no-go face-corollary,Main public v2.0,Observer/readout/evaluator no-go,Core face-corollary of No Undeclared Relation.,Could be read as new master axiom; frame as corollary,Include in main corpus.,https://drive.google.com/file/d/17nvUH197_QUVb0SSmp5i560RJdwqKkFo/view
1CzJa4z-MrgYELl-0r-RBMGWphRRLQL2m,no_undeclared_boundary_v0_5.md,No Undeclared Boundary,Current,Bridge/no-go face-corollary,Main public v2.0,Boundary/admissibility no-go,Core face-corollary of No Undeclared Relation.,Could be read as new master axiom; frame as corollary,Include in main corpus.,https://drive.google.com/file/d/1CzJa4z-MrgYELl-0r-RBMGWphRRLQL2m/view
1eV6QVgRnxHKzxH-4_8cBXirbbm7rIPnt,no_undeclared_relation_bridge_completion_v1_1.md,No Undeclared Relation and Bridge Completion,Current,Core bridge/no-go methodology,Main public v2.0,Master no-go and bridge completion discipline,Core method/no-go paper; central to release.,Must not be treated as proof of all bridges,Include in main corpus.,https://drive.google.com/file/d/1eV6QVgRnxHKzxH-4_8cBXirbbm7rIPnt/view
15M3e6rXD75Gjc3Wc-3xQuW4kbOJV8U_G,charted_organization_theory_v0_5.md,Charted Organization Theory,Current,Core mathematical foundation,Main public v2.0,Observer/chart/atlas foundation,Core foundation paper.,Needs clean role in dependency map,Include in main corpus.,https://drive.google.com/file/d/15M3e6rXD75Gjc3Wc-3xQuW4kbOJV8U_G/view
11prQAzVDG5cz4dmYAU-AMgoS9pR4HuM3fVKzhToZUCs,Paper B Draft 1.2 - Task-Visible Quotients and Minimal Sufficient Recoverability,Paper B — Task-Visible Quotients,Current,Methodological article candidate,Main public v2.0,Quotient/minimality discipline,Full paper should be included; strong peer-review candidate.,Do not replace with synopsis,Include full manuscript.,https://docs.google.com/document/d/11prQAzVDG5cz4dmYAU-AMgoS9pR4HuM3fVKzhToZUCs/edit
1MpVTj8Lmc-P1cZdkLEzSdaWkddmeNUMOb3duJQnNKgc,Paper A Draft 1.0 - Recoverable Dependence Is Not Causal Precedence,Paper A — Recoverable Dependence,Current,Methodological article candidate,Main public v2.0,Recoverability/causality/Lorentzian taxonomy,Full paper should be included; strong first arXiv/journal candidate.,Do not replace with synopsis,Include full manuscript.,https://docs.google.com/document/d/1MpVTj8Lmc-P1cZdkLEzSdaWkddmeNUMOb3duJQnNKgc/edit
1WditPZ4dI32ATZubnb6EKS7eMyEn4EyQ,triadic_closure_recursive_residual_theory_v0_7.md,Triadic Closure and Recursive Residual Theory,Current,Core architecture / integration,Main public v2.0,Triadic closure and residual theory,Core architecture paper.,"Triadicity must be roles, not objects",Include in main corpus.,https://drive.google.com/file/d/1WditPZ4dI32ATZubnb6EKS7eMyEn4EyQ/view
1gAiY6ZNn6S798UPLO6jSzZ7CPElythaB,recursive_chart_learning_theory_v0_5.md,Recursive Chart Learning Theory,Current,Core mathematical foundation,Main public v2.0,Learning/path-trace foundation,Core foundation paper.,"Learning is admitted trace, not improvement",Include in main corpus.,https://drive.google.com/file/d/1gAiY6ZNn6S798UPLO6jSzZ7CPElythaB/view
1bHW8zpataAQysA_mj0FWTGmir4EsLkM0,cross_closure_instantiation_theorems_v0_7.md,Cross-Closure Instantiation Theorems,Current,Core integration / theorem layer,Main public v2.0,Cross-paper theorem layer,Important for showing corpus cohesion.,May be hard without foundation papers,Include after triadic closure.,https://drive.google.com/file/d/1bHW8zpataAQysA_mj0FWTGmir4EsLkM0/view
1kjobdxbuTkoum-zZ76vC2QlGp4UOGWdx,no_free_transfer_bridge_completion_merged_v0_3.md,No-Free-Transfer Bridge Completion Merged,Superseded,Superseded bridge method,Superseded / do not release,Superseded precursor,Superseded by NUR v1.1 and related papers.,Version drift / duplicate claims,Archive privately.,https://drive.google.com/file/d/1kjobdxbuTkoum-zZ76vC2QlGp4UOGWdx/view
19GUPXlOB7W0klgmA4zb8pu9BlRv1h76U,charted_objecthood_contextual_gluing_v0_5.md,Charted Objecthood and Contextual Gluing,Current,External-facing theorem/application,Public support appendix / article candidate,Contextuality/gluing application,Strong external-facing article candidate.,May depend on COT and objecthood vocabulary,Include as support or first article candidate.,https://drive.google.com/file/d/19GUPXlOB7W0klgmA4zb8pu9BlRv1h76U/view
1wruWUFqpQO-xQwcnwbvgB0c40sXH8MeB,lorentzian_bridge_order_signature_no_free_transfer_v0_5.md,"The Lorentzian Bridge: Order, Signature, and No-Free-Transfer",Current,GR / Lorentzian chain,Frontier branch index,Lorentzian bridge factorization,Important bridge factorization; not first standalone public without context.,High overclaim risk,Include in frontier branch index after Paper A/NUR.,https://drive.google.com/file/d/1wruWUFqpQO-xQwcnwbvgB0c40sXH8MeB/view
1FSpKIwHcfo-mwn1yoChfQCTlXYQ2g4xm,lorentzian_bridge_chain_synthesis_v0_6.md,Lorentzian Bridge Chain Synthesis,Current,GR / Lorentzian chain,Frontier branch index,Lorentzian chain synthesis,Important synthesis; should remain conditional/formal.,Formal skeleton ≠ spacetime,Include in frontier branch index.,https://drive.google.com/file/d/1FSpKIwHcfo-mwn1yoChfQCTlXYQ2g4xm/view
1mEYtdIb5Yh6RjN8XnC2Z8ak2DxrPmtia,lorentzian_no_go_repair_audit_v0_5.md,Lorentzian No-Go Repair Audit,Current,GR / Lorentzian chain,Frontier branch index,No-go repair audit,Useful chain paper; formal repair audit.,May sound like repair of GR/no-go broadly,Include in frontier branch index.,https://drive.google.com/file/d/1mEYtdIb5Yh6RjN8XnC2Z8ak2DxrPmtia/view
161a2n-z8EE-HT_T89MDm97eS7LrpkNNC,path_polarity_to_causal_order_v0_5.md,Path-Polarity to Causal Order,Current,GR / Lorentzian chain,Frontier branch index,Path-polarity/order bridge,Important sub-bridge toward causal order.,Order is not full metric,Include in frontier branch index.,https://drive.google.com/file/d/161a2n-z8EE-HT_T89MDm97eS7LrpkNNC/view
1j4u-8HrFyyfkPIj-Y2vm18jNkCOOhK1I,scale_readout_to_dynamics_update_v0_4.md,Scale Readout to Dynamics Update,Current,GR / Lorentzian chain,Frontier branch index,Dynamics/update bridge,Important formal dynamics bridge.,Action-like ≠ physical action,Include in frontier branch index.,https://drive.google.com/file/d/1j4u-8HrFyyfkPIj-Y2vm18jNkCOOhK1I/view
1BhviNdrZlJOZn4dsfFxwZ3k0Jz-RJPX8,local_finiteness_to_scale_readout_v0_4.md,Local Finiteness to Scale Readout,Current,GR / Lorentzian chain,Frontier branch index,Order/count/scale bridge,Important scale-readout bridge.,Counting ≠ continuum volume,Include in frontier branch index.,https://drive.google.com/file/d/1BhviNdrZlJOZn4dsfFxwZ3k0Jz-RJPX8/view
1msBVlRrSR_Qw7PZkSH1kEtapRSTzKSAU,persistence_margins_dynamic_trace_stability_v0_4.md,Persistence Margins and Dynamic Trace Stability,Current,External-facing theorem branch,Public support appendix / article candidate,TDA trace-stability theorem,Strong external-facing technical paper; can be journal/arXiv candidate.,TDA does not validate entire programme,Include as article candidate/support.,https://drive.google.com/file/d/1msBVlRrSR_Qw7PZkSH1kEtapRSTzKSAU/view
1qA427rIieuloaSwOFmpcxUR1HGwoMISc,relation_first_constraint_position_statement_v0_4.md,Relation-First Position Statement,Current,Parser / programme identity,Main public v2.0,Parser-installation document,Essential public-facing parser.,Should not be treated as theorem paper,Include first.,https://drive.google.com/file/d/1qA427rIieuloaSwOFmpcxUR1HGwoMISc/view
15-g7DO3vNB20mnntX6-CWJdrU01X4RFz,moving_supports_trace_stability_v0_3.md,Moving Supports and Trace Stability,Current,External-facing theorem branch,Public support appendix / article candidate,Moving-support TDA extension,Pairs with Persistence Margins; likely merged for journal track but full original included in footprint.,"Merge decision only for journal, not release",Include full paper.,https://drive.google.com/file/d/15-g7DO3vNB20mnntX6-CWJdrU01X4RFz/view
1e97T2NN_cuhT0pCUFpRMddzfwr1dOn4m,density_sampling_faithful_embedding_bridge_v0_7.md,"Density, Sampling, and Faithful Embedding",Current,GR / continuum chain,Frontier branch index,Density/sampling/embedding bridge,Important transition from formal skeleton to continuum calibration.,Faithful embedding/Hauptvermutung not solved,Include with strict non-claims.,https://drive.google.com/file/d/1e97T2NN_cuhT0pCUFpRMddzfwr1dOn4m/view
